current_source,current_target,is_chain,ultimate_target,action
https://arahkaii.com/category/beauty-accessories-accessories-edit-staple-wardrobe/,https://arahkaii.com/category/beauty/,YES,https://www.arahkaii.com/category/beauty/,Update 301 to point directly to ultimate target
https://arahkaii.com/category/news/,https://www.arahkaii.com/category/news/,no,https://www.arahkaii.com/category/news/,Keep as-is (already direct)
http://arahkaii.com/wp-content/uploads/2025/11/ARAHKAII.png,https://arahkaii.com/wp-content/uploads/2025/11/ARAHKAII.png,no,https://arahkaii.com/wp-content/uploads/2025/11/ARAHKAII.png,Keep as-is (already direct)
https://arahkaii.com/category/trending/,https://www.arahkaii.com/category/trending/,no,https://www.arahkaii.com/category/trending/,Keep as-is (already direct)
http://arahkaii.com/wp-content/uploads/2025/11/cropped-LinaRoselieditorinchief-e1763367940591-1.png,https://arahkaii.com/wp-content/uploads/2025/11/cropped-LinaRoselieditorinchief-e1763367940591-1.png,no,https://arahkaii.com/wp-content/uploads/2025/11/cropped-LinaRoselieditorinchief-e1763367940591-1.png,Keep as-is (already direct)
https://arahkaii.com/,https://www.arahkaii.com/,no,https://www.arahkaii.com/,Keep as-is (already direct)
https://www.arahkaii.com/humidity-resistant-makeup-science-tropical-climate/,https://www.arahkaii.com/beauty/humidity-resistant-makeup-science-tropical-climate/,no,https://www.arahkaii.com/beauty/humidity-resistant-makeup-science-tropical-climate/,Keep as-is (already direct)
https://www.arahkaii.com/the-ultimate-guide-to-finding-the-perfect-foundation-shade-for-southeast-asian-skin-tones/,https://www.arahkaii.com/beauty/the-ultimate-guide-to-finding-the-perfect-foundation-shade-for-southeast-asian-skin-tones/,no,https://www.arahkaii.com/beauty/the-ultimate-guide-to-finding-the-perfect-foundation-shade-for-southeast-asian-skin-tones/,Keep as-is (already direct)
https://www.arahkaii.com/beauty-best-chinese-makeup-brands/,https://www.arahkaii.com/beauty/beauty-best-chinese-makeup-brands/,no,https://www.arahkaii.com/beauty/beauty-best-chinese-makeup-brands/,Keep as-is (already direct)
https://www.arahkaii.com/the-complete-guide-to-quiet-luxury/,https://www.arahkaii.com/fashion/the-complete-guide-to-quiet-luxury/,no,https://www.arahkaii.com/fashion/the-complete-guide-to-quiet-luxury/,Keep as-is (already direct)
https://www.arahkaii.com/the-self-gift-guide-7-future-vintage-designer-bags-poised-to-become-classics/,https://www.arahkaii.com/fashion/the-self-gift-guide-7-future-vintage-designer-bags-poised-to-become-classics/,no,https://www.arahkaii.com/fashion/the-self-gift-guide-7-future-vintage-designer-bags-poised-to-become-classics/,Keep as-is (already direct)
https://www.arahkaii.com/sukkhacitta-regenerative-fashion-indonesia-artisan-economics/,https://www.arahkaii.com/people/sukkhacitta-regenerative-fashion-indonesia-artisan-economics/,no,https://www.arahkaii.com/people/sukkhacitta-regenerative-fashion-indonesia-artisan-economics/,Keep as-is (already direct)
https://arahkaii.com/the-conscious-luxury-manifesto-sustainable-living/,https://arahkaii.com/living/the-conscious-luxury-manifesto-sustainable-living/,YES,https://www.arahkaii.com/living/the-conscious-luxury-manifesto-sustainable-living/,Update 301 to point directly to ultimate target
https://www.arahkaii.com/seoul-fashion-week-fw-2026/,https://www.arahkaii.com/fashion/seoul-fashion-week-fw-2026/,no,https://www.arahkaii.com/fashion/seoul-fashion-week-fw-2026/,Keep as-is (already direct)
https://www.arahkaii.com/the-10-best-shows-of-milan-fashion-week-fw26-ranked/,https://www.arahkaii.com/fashion/the-10-best-shows-of-milan-fashion-week-fw26-ranked/,no,https://www.arahkaii.com/fashion/the-10-best-shows-of-milan-fashion-week-fw26-ranked/,Keep as-is (already direct)
https://arahkaii.com/category/fashion-trends-designers-spotlights-styling-tips-curation/,https://arahkaii.com/category/fashion/,YES,https://www.arahkaii.com/category/fashion/,Update 301 to point directly to ultimate target
https://arahkaii.com/category/trending/trending-fashion-buzz-beauty-buzz-lifestyle-buzz/,https://arahkaii.com/category/trending/,YES,https://www.arahkaii.com/category/trending/,Update 301 to point directly to ultimate target
http://arahkaii.com/wp-content/uploads/2026/01/Natalia-Amirfeatures-writer.jpg,https://arahkaii.com/wp-content/uploads/2026/01/Natalia-Amirfeatures-writer.jpg,no,https://arahkaii.com/wp-content/uploads/2026/01/Natalia-Amirfeatures-writer.jpg,Keep as-is (already direct)
